start_index,end_index,duration_slots,detected,delay_slots,coverage_ratio,status
0,1,2,True,0.0,1.0,fully_detected
3,3,1,False,,0.0,missed
13,14,2,True,0.0,1.0,fully_detected
17,19,3,True,0.0,1.0,fully_detected
26,26,1,False,,0.0,missed
28,29,2,True,0.0,1.0,fully_detected
34,39,6,True,1.0,0.8333333333333334,delayed
48,48,1,True,0.0,1.0,fully_detected
59,68,10,True,2.0,0.4,delayed
78,78,1,False,,0.0,missed
80,80,1,False,,0.0,missed
83,83,1,False,,0.0,missed
162,162,1,False,,0.0,missed
207,208,2,True,1.0,0.5,delayed
292,292,1,True,0.0,1.0,fully_detected
437,437,1,False,,0.0,missed
500,500,1,False,,0.0,missed
761,762,2,True,1.0,0.5,delayed
796,797,2,True,0.0,1.0,fully_detected
838,841,4,True,0.0,1.0,fully_detected
846,846,1,False,,0.0,missed
