start_index,end_index,duration_slots,detected,delay_slots,coverage_ratio,status
0,4,5,True,0,1.0,fully_detected
9,9,1,True,0,1.0,fully_detected
14,14,1,True,0,1.0,fully_detected
19,20,2,True,0,1.0,fully_detected
33,34,2,True,0,1.0,fully_detected
38,38,1,True,0,1.0,fully_detected
40,41,2,True,0,1.0,fully_detected
52,52,1,True,0,1.0,fully_detected
61,62,2,True,0,1.0,fully_detected
76,78,3,True,0,1.0,fully_detected
80,80,1,True,0,1.0,fully_detected
82,83,2,True,0,1.0,fully_detected
171,171,1,True,0,1.0,fully_detected
174,174,1,True,0,1.0,fully_detected
220,224,5,True,0,1.0,fully_detected
304,304,1,True,0,1.0,fully_detected
444,444,1,True,0,1.0,fully_detected
505,505,1,True,0,1.0,fully_detected
778,778,1,True,0,1.0,fully_detected
786,786,1,True,0,1.0,fully_detected
836,837,2,True,0,1.0,fully_detected
842,843,2,True,0,1.0,fully_detected
850,852,3,True,0,1.0,fully_detected
855,855,1,True,0,1.0,fully_detected
869,877,9,True,0,1.0,fully_detected
922,925,4,True,0,1.0,fully_detected
930,942,13,True,0,1.0,fully_detected
944,945,2,True,0,1.0,fully_detected
950,950,1,True,0,1.0,fully_detected
954,961,8,True,0,1.0,fully_detected
969,976,8,True,0,1.0,fully_detected
