start_index,end_index,duration_slots,detected,delay_slots,coverage_ratio,status
0,1,2,True,0.0,1.0,fully_detected
3,3,1,True,0.0,1.0,fully_detected
13,14,2,True,0.0,1.0,fully_detected
17,19,3,True,0.0,1.0,fully_detected
26,26,1,True,0.0,1.0,fully_detected
28,29,2,True,0.0,1.0,fully_detected
34,39,6,True,0.0,1.0,fully_detected
48,48,1,True,0.0,1.0,fully_detected
59,68,10,True,1.0,0.5,delayed
78,78,1,False,,0.0,missed
80,80,1,True,0.0,1.0,fully_detected
83,83,1,False,,0.0,missed
162,162,1,True,0.0,1.0,fully_detected
207,208,2,True,0.0,1.0,fully_detected
292,292,1,True,0.0,1.0,fully_detected
437,437,1,True,0.0,1.0,fully_detected
500,500,1,True,0.0,1.0,fully_detected
761,762,2,True,0.0,1.0,fully_detected
796,797,2,True,0.0,1.0,fully_detected
838,841,4,True,0.0,1.0,fully_detected
846,846,1,True,0.0,1.0,fully_detected
