start_index,end_index,duration_slots,detected,delay_slots,coverage_ratio,status
0,1,2,True,0.0,1.0,fully_detected
3,5,3,True,0.0,1.0,fully_detected
15,16,2,True,0.0,1.0,fully_detected
19,19,1,True,0.0,1.0,fully_detected
26,26,1,True,0.0,1.0,fully_detected
28,30,3,True,0.0,1.0,fully_detected
35,36,2,True,0.0,1.0,fully_detected
39,40,2,True,0.0,0.5,partial
47,47,1,True,0.0,1.0,fully_detected
58,64,7,True,1.0,0.8571428571428571,delayed
74,75,2,True,1.0,0.5,delayed
77,77,1,True,0.0,1.0,fully_detected
159,159,1,False,,0.0,missed
204,206,3,True,0.0,1.0,fully_detected
290,290,1,True,0.0,1.0,fully_detected
313,313,1,True,0.0,1.0,fully_detected
498,499,2,True,1.0,0.5,delayed
760,761,2,True,0.0,1.0,fully_detected
774,776,3,True,1.0,0.6666666666666666,delayed
837,838,2,True,0.0,1.0,fully_detected
849,852,4,True,0.0,1.0,fully_detected
854,854,1,True,0.0,1.0,fully_detected
861,862,2,True,0.0,1.0,fully_detected
868,869,2,True,0.0,1.0,fully_detected
